日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/08/09,12:52,午餐,美团订单-20080911100400000002976640205056,10.88,1份,支付宝,美团外卖APP,
2020/08/09,12:52,午餐,美团订单-20080911100400000002976323240056,50.00,1份,支付宝,美团外卖APP,
2020/08/09,01:25,,商品,220.00,,支付宝,,
2020/08/08,20:19,,5556890,23.00,,支付宝,,
2020/08/08,19:36,,木屋烧烤新洲店,203.75,,支付宝,,
2020/08/08,12:01,网购,商户单号XP0020080812200896786061006557,4.80,1个,支付宝,拼多多APP,
2020/08/08,11:51,网购,商户单号XP0020080811201943371847005917,8.90,1个,支付宝,拼多多APP,
2020/08/08,11:36,网购,商户单号XP0020080811201942880635007242,3.90,1个,支付宝,拼多多APP,
2020/08/08,11:28,午餐,美团订单-20080811100400000002895882540056,19.00,1份,支付宝,美团外卖APP,
2020/08/07,20:56,夜宵,美团订单-20080711100400000002873825932056,20.70,1份,支付宝,美团外卖APP,
2020/08/07,14:10,网购,商户单号XP0020080714200861033811006560,8.82,1个,支付宝,拼多多APP,
2020/08/07,13:41,网购,商户单号XP0020080713200859553426004178,3.94,1个,支付宝,拼多多APP,
2020/08/07,11:20,午餐,美团订单-20080711100400000002833182780056,7.98,1份,支付宝,美团外卖APP,
2020/08/07,08:50,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/06,18:13,,商品,19.00,,支付宝,,
2020/08/06,11:21,午餐,美团订单-20080611100400000002774533106056,19.92,1份,支付宝,美团外卖APP,
2020/08/06,11:10,网购,商户单号XP0020080611201855900472004463,0.90,1个,支付宝,拼多多APP,
2020/08/06,08:47,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
2020/08/05,11:20,午餐,美团订单-20080511100400000002709726507056,18.76,1份,支付宝,美团外卖APP,
2020/08/05,09:23,网购,商户单号XP0020080509201805138802005442,1.36,1个,支付宝,拼多多APP,
2020/08/05,09:20,网购,商户单号XP0020080509201805019069001374,15.90,1个,支付宝,拼多多APP,
2020/08/05,09:18,网购,商户单号XP0020080509201804987978003077,26.01,1个,支付宝,拼多多APP,
2020/08/05,08:47,早餐,肉包子*1、菜包子*1、茶叶蛋*1,5.00,1份,支付宝,楼下包子铺,
