日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/12/27,21:51,外卖红包,超级会员加量包订单：3000000011927709810,10.00,4张,支付宝,饿了么APP,
2020/12/27,21:30,,百合星城工作室,32.30,1次,支付宝,,
2020/12/27,00:20,,一哥炒粉,12.00,1次,支付宝,,
2020/12/27,00:19,超市,嘉乐便利店-龙珠店,7.00,1次,支付宝,嘉乐便利店-龙珠店(佳兆业·大都会楼下附近),
2020/12/24,18:44,晚餐,鸡蛋炒刀削,19.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/24,11:04,网购,商户单号XP2320122411500076829090006629,14.00,1个,支付宝,拼多多APP,
2020/12/23,18:41,晚餐,鸡蛋炒刀削,19.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/22,18:25,晚餐,商品,20.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/21,19:52,晚餐,饺子,27.00,1次,支付宝,小区门口老东北饺子馆,
2020/12/21,13:01,午餐,鸡蛋炒刀削,19.00,1次,支付宝,公司附近兰州拉面门店,
2020/12/19,19:22,,BK26918_2076_POS,29.00,1次,支付宝,,
