日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注
2020/10/29,11:25,午餐,唐穆私房牛肉面(泰然店)外卖订单,15.5,1次,支付宝,饿了么APP,
2020/10/28,11:20,午餐,唐穆私房牛肉面(泰然店)外卖订单,12.5,1次,支付宝,饿了么APP,
2020/10/27,11:22,午餐,老汉口面馆外卖订单,13.26,1次,支付宝,饿了么APP,
2020/11/8,11:37,网购,韦小堡 3张 3元无门槛代金券,2,1次,支付宝,饿了么APP,
2020/11/4,11:26,网购,秦都面馆 2元无门槛代金券 4次,4,1次,支付宝,饿了么APP,
2020/10/30,11:23,网购,牛家人 3张 3元无门槛代金券,1,1次,支付宝,饿了么APP,
2020/11/9,11:26,外卖红包,超级会员加量包订单：3000000009320245510,20,1次,支付宝,饿了么APP,
2020/11/2,22:52,外卖红包,超级会员加量包订单：3000000008907221010,25,1次,支付宝,饿了么APP,
2020/11/6,9:48,超市,5号电池,6.5,1次,支付宝-花呗,7-Eleven便利店,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
